"TimePeriod","Region","ObsValue","State"
2019,"Adelaide",25376,"South Australia"
2013,"Adelaide",22143,"South Australia"
2023,"Adelaide",27901,"South Australia"
2018,"Adelaide",24688,"South Australia"
2015,"Adelaide",23085,"South Australia"
2016,"Adelaide",23552,"South Australia"
2014,"Adelaide",22624,"South Australia"
2017,"Adelaide",24188,"South Australia"
2020,"Adelaide",25964,"South Australia"
2021,"Adelaide",25522,"South Australia"
2022,"Adelaide",26183,"South Australia"
2016,"Adelaide Hills",39632,"South Australia"
2019,"Adelaide Hills",40587,"South Australia"
2015,"Adelaide Hills",39630,"South Australia"
2020,"Adelaide Hills",40969,"South Australia"
2018,"Adelaide Hills",40173,"South Australia"
2017,"Adelaide Hills",39875,"South Australia"
2022,"Adelaide Hills",41408,"South Australia"
2021,"Adelaide Hills",41237,"South Australia"
2013,"Adelaide Hills",39687,"South Australia"
2014,"Adelaide Hills",39657,"South Australia"
2023,"Adelaide Hills",41842,"South Australia"
2017,"Adelaide Plains",9040,"South Australia"
2018,"Adelaide Plains",9191,"South Australia"
2020,"Adelaide Plains",9677,"South Australia"
2015,"Adelaide Plains",8819,"South Australia"
2013,"Adelaide Plains",8646,"South Australia"
2014,"Adelaide Plains",8744,"South Australia"
2022,"Adelaide Plains",10454,"South Australia"
2016,"Adelaide Plains",8912,"South Australia"
2023,"Adelaide Plains",10932,"South Australia"
2021,"Adelaide Plains",9975,"South Australia"
2019,"Adelaide Plains",9338,"South Australia"
2013,"Albany",36318,"Western Australia"
2022,"Albany",40434,"Western Australia"
2021,"Albany",40105,"Western Australia"
2020,"Albany",39629,"Western Australia"
2017,"Albany",37879,"Western Australia"
2015,"Albany",37206,"Western Australia"
2023,"Albany",40949,"Western Australia"
2019,"Albany",39054,"Western Australia"
2018,"Albany",38470,"Western Australia"
2014,"Albany",36919,"Western Australia"
2016,"Albany",37285,"Western Australia"
2018,"Albury",53922,"New South Wales"
2016,"Albury",52171,"New South Wales"
2013,"Albury",50338,"New South Wales"
2023,"Albury",57517,"New South Wales"
2015,"Albury",51486,"New South Wales"
2017,"Albury",53056,"New South Wales"
2020,"Albury",55466,"New South Wales"
2014,"Albury",50990,"New South Wales"
2021,"Albury",56067,"New South Wales"
2022,"Albury",56665,"New South Wales"
2019,"Albury",54657,"New South Wales"
2023,"Alexandrina",30323,"South Australia"
2022,"Alexandrina",29746,"South Australia"
2020,"Alexandrina",28400,"South Australia"
2021,"Alexandrina",29257,"South Australia"
2014,"Alexandrina",25705,"South Australia"
2018,"Alexandrina",27322,"South Australia"
2019,"Alexandrina",27820,"South Australia"
2013,"Alexandrina",25203,"South Australia"
2017,"Alexandrina",26919,"South Australia"
2015,"Alexandrina",26203,"South Australia"
2016,"Alexandrina",26562,"South Australia"
2015,"Alice Springs",26843,"Northern Territory"
2016,"Alice Springs",26518,"Northern Territory"
2013,"Alice Springs",28124,"Northern Territory"
2017,"Alice Springs",26889,"Northern Territory"
2019,"Alice Springs",27600,"Northern Territory"
2018,"Alice Springs",27223,"Northern Territory"
2020,"Alice Springs",28029,"Northern Territory"
2023,"Alice Springs",29213,"Northern Territory"
2014,"Alice Springs",27486,"Northern Territory"
2022,"Alice Springs",28859,"Northern Territory"
2021,"Alice Springs",28483,"Northern Territory"
2019,"Alpine",12904,"Victoria"
2015,"Alpine",12429,"Victoria"
2013,"Alpine",12283,"Victoria"
2014,"Alpine",12355,"Victoria"
2017,"Alpine",12687,"Victoria"
2018,"Alpine",12822,"Victoria"
2023,"Alpine",13182,"Victoria"
2021,"Alpine",13166,"Victoria"
2016,"Alpine",12578,"Victoria"
2022,"Alpine",13191,"Victoria"
2020,"Alpine",13054,"Victoria"
2022,"Anangu Pitjantjatjara Yankunytjatjara",2598,"South Australia"
2021,"Anangu Pitjantjatjara Yankunytjatjara",2554,"South Australia"
2013,"Anangu Pitjantjatjara Yankunytjatjara",2622,"South Australia"
2019,"Anangu Pitjantjatjara Yankunytjatjara",2506,"South Australia"
2017,"Anangu Pitjantjatjara Yankunytjatjara",2476,"South Australia"
2018,"Anangu Pitjantjatjara Yankunytjatjara",2491,"South Australia"
2020,"Anangu Pitjantjatjara Yankunytjatjara",2515,"South Australia"
2016,"Anangu Pitjantjatjara Yankunytjatjara",2498,"South Australia"
2014,"Anangu Pitjantjatjara Yankunytjatjara",2605,"South Australia"
2023,"Anangu Pitjantjatjara Yankunytjatjara",2632,"South Australia"
2015,"Anangu Pitjantjatjara Yankunytjatjara",2568,"South Australia"
2022,"Ararat",11758,"Victoria"
2023,"Ararat",11683,"Victoria"
2015,"Ararat",11644,"Victoria"
2016,"Ararat",11745,"Victoria"
2013,"Ararat",11490,"Victoria"
2014,"Ararat",11560,"Victoria"
2019,"Ararat",11838,"Victoria"
2020,"Ararat",11918,"Victoria"
2017,"Ararat",11796,"Victoria"
2018,"Ararat",11805,"Victoria"
2021,"Ararat",11827,"Victoria"
2021,"Armadale",97644,"Western Australia"
2013,"Armadale",72662,"Western Australia"
2023,"Armadale",105094,"Western Australia"
2019,"Armadale",91543,"Western Australia"
2016,"Armadale",82021,"Western Australia"
2020,"Armadale",94970,"Western Australia"
2017,"Armadale",84875,"Western Australia"
2015,"Armadale",78848,"Western Australia"
2014,"Armadale",75559,"Western Australia"
2018,"Armadale",88068,"Western Australia"
2022,"Armadale",100849,"Western Australia"
2021,"Armidale Regional",29332,NA
2022,"Armidale Regional",29361,NA
2023,"Armidale Regional",29594,NA
2016,"Armidale Regional",29310,NA
2017,"Armidale Regional",29519,NA
2018,"Armidale Regional",29631,NA
2019,"Armidale Regional",29701,NA
2020,"Armidale Regional",29600,NA
2013,"Armidale Regional",28895,NA
2014,"Armidale Regional",29015,NA
2015,"Armidale Regional",29160,NA
2022,"Ashburton",7843,"Western Australia"
2014,"Ashburton",12515,"Western Australia"
2018,"Ashburton",11144,"Western Australia"
2019,"Ashburton",10018,"Western Australia"
2013,"Ashburton",12025,"Western Australia"
2023,"Ashburton",8076,"Western Australia"
2017,"Ashburton",12208,"Western Australia"
2016,"Ashburton",13311,"Western Australia"
2020,"Ashburton",8927,"Western Australia"
2021,"Ashburton",7781,"Western Australia"
2015,"Ashburton",13002,"Western Australia"
2023,"Augusta Margaret River",18620,"Western Australia"
2015,"Augusta Margaret River",14419,"Western Australia"
2019,"Augusta Margaret River",16235,"Western Australia"
2020,"Augusta Margaret River",16792,"Western Australia"
2014,"Augusta Margaret River",13996,"Western Australia"
2013,"Augusta Margaret River",13487,"Western Australia"
2021,"Augusta Margaret River",17303,"Western Australia"
2017,"Augusta Margaret River",15258,"Western Australia"
2018,"Augusta Margaret River",15708,"Western Australia"
2016,"Augusta Margaret River",14819,"Western Australia"
2022,"Augusta Margaret River",17917,"Western Australia"
2023,"Aurukun",1154,"Queensland"
2022,"Aurukun",1124,"Queensland"
2019,"Aurukun",1288,"Queensland"
2021,"Aurukun",1130,"Queensland"
2018,"Aurukun",1296,"Queensland"
2020,"Aurukun",1196,"Queensland"
2017,"Aurukun",1301,"Queensland"
2014,"Aurukun",1332,"Queensland"
2013,"Aurukun",1350,"Queensland"
2016,"Aurukun",1323,"Queensland"
2015,"Aurukun",1321,"Queensland"
2021,"Ballarat",113504,"Victoria"
2022,"Ballarat",116011,"Victoria"
2016,"Ballarat",103500,"Victoria"
2019,"Ballarat",109773,"Victoria"
2018,"Ballarat",107608,"Victoria"
2017,"Ballarat",105551,"Victoria"
2015,"Ballarat",101479,"Victoria"
2020,"Ballarat",111645,"Victoria"
2023,"Ballarat",118137,"Victoria"
2013,"Ballarat",98344,"Victoria"
2014,"Ballarat",99914,"Victoria"
2013,"Ballina",41510,"New South Wales"
2022,"Ballina",46849,"New South Wales"
2015,"Ballina",42336,"New South Wales"
2016,"Ballina",42993,"New South Wales"
2021,"Ballina",46196,"New South Wales"
2020,"Ballina",45663,"New South Wales"
2019,"Ballina",44997,"New South Wales"
2017,"Ballina",43652,"New South Wales"
2023,"Ballina",47279,"New South Wales"
2018,"Ballina",44385,"New South Wales"
2014,"Ballina",41881,"New South Wales"
2013,"Balonne",4776,"Queensland"
2014,"Balonne",4726,"Queensland"
2020,"Balonne",4392,"Queensland"
2021,"Balonne",4378,"Queensland"
2017,"Balonne",4394,"Queensland"
2019,"Balonne",4389,"Queensland"
2016,"Balonne",4461,"Queensland"
2015,"Balonne",4610,"Queensland"
2018,"Balonne",4372,"Queensland"
2023,"Balonne",4345,"Queensland"
2022,"Balonne",4352,"Queensland"
2018,"Balranald",2308,"New South Wales"
2020,"Balranald",2257,"New South Wales"
2019,"Balranald",2287,"New South Wales"
2017,"Balranald",2338,"New South Wales"
2014,"Balranald",2376,"New South Wales"
2015,"Balranald",2364,"New South Wales"
2023,"Balranald",2202,"New South Wales"
2022,"Balranald",2210,"New South Wales"
2016,"Balranald",2330,"New South Wales"
2021,"Balranald",2208,"New South Wales"
2013,"Balranald",2381,"New South Wales"
2023,"Banana",14919,"Queensland"
2013,"Banana",14948,"Queensland"
2018,"Banana",14525,"Queensland"
2021,"Banana",14657,"Queensland"
2019,"Banana",14581,"Queensland"
2014,"Banana",14860,"Queensland"
2022,"Banana",14778,"Queensland"
2020,"Banana",14587,"Queensland"
2017,"Banana",14573,"Queensland"
2015,"Banana",14707,"Queensland"
2016,"Banana",14570,"Queensland"
2021,"Banyule",127370,"Victoria"
2020,"Banyule",130294,"Victoria"
2017,"Banyule",128660,"Victoria"
2013,"Banyule",124314,"Victoria"
2023,"Banyule",129602,"Victoria"
2015,"Banyule",126088,"Victoria"
2018,"Banyule",129645,"Victoria"
2019,"Banyule",130607,"Victoria"
2016,"Banyule",127447,"Victoria"
2022,"Banyule",127427,"Victoria"
2014,"Banyule",125107,"Victoria"
2013,"Barcaldine",3232,"Queensland"
2016,"Barcaldine",2909,"Queensland"
2015,"Barcaldine",3082,"Queensland"
2022,"Barcaldine",2864,"Queensland"
2014,"Barcaldine",3166,"Queensland"
2017,"Barcaldine",2881,"Queensland"
2018,"Barcaldine",2877,"Queensland"
2020,"Barcaldine",2862,"Queensland"
2023,"Barcaldine",2894,"Queensland"
2019,"Barcaldine",2876,"Queensland"
2021,"Barcaldine",2863,"Queensland"
2013,"Barcoo",333,"Queensland"
2023,"Barcoo",317,"Queensland"
2015,"Barcoo",296,"Queensland"
2022,"Barcoo",315,"Queensland"
2018,"Barcoo",288,"Queensland"
2017,"Barcoo",278,"Queensland"
2021,"Barcoo",312,"Queensland"
2014,"Barcoo",317,"Queensland"
2020,"Barcoo",302,"Queensland"
2016,"Barcoo",272,"Queensland"
2019,"Barcoo",297,"Queensland"
2015,"Barkly",7572,"Northern Territory"
2017,"Barkly",7342,"Northern Territory"
2014,"Barkly",7663,"Northern Territory"
2023,"Barkly",7239,"Northern Territory"
2022,"Barkly",7212,"Northern Territory"
2013,"Barkly",7810,"Northern Territory"
2018,"Barkly",7257,"Northern Territory"
2021,"Barkly",7189,"Northern Territory"
2020,"Barkly",7228,"Northern Territory"
2016,"Barkly",7426,"Northern Territory"
2019,"Barkly",7212,"Northern Territory"
2013,"Barossa",23138,"South Australia"
2015,"Barossa",23829,"South Australia"
2019,"Barossa",25050,"South Australia"
2023,"Barossa",26268,"South Australia"
2014,"Barossa",23468,"South Australia"
2017,"Barossa",24466,"South Australia"
2018,"Barossa",24815,"South Australia"
2022,"Barossa",25866,"South Australia"
2016,"Barossa",24200,"South Australia"
2021,"Barossa",25565,"South Australia"
2020,"Barossa",25325,"South Australia"
2014,"Barunga West",2521,"South Australia"
2019,"Barunga West",2624,"South Australia"
2020,"Barunga West",2631,"South Australia"
2015,"Barunga West",2542,"South Australia"
2018,"Barunga West",2594,"South Australia"
2013,"Barunga West",2495,"South Australia"
2023,"Barunga West",2680,"South Australia"
2016,"Barunga West",2592,"South Australia"
2017,"Barunga West",2600,"South Australia"
2021,"Barunga West",2675,"South Australia"
2022,"Barunga West",2672,"South Australia"
2022,"Bass Coast",41813,"Victoria"
2013,"Bass Coast",31331,"Victoria"
2023,"Bass Coast",42729,"Victoria"
2017,"Bass Coast",34748,"Victoria"
2019,"Bass Coast",37440,"Victoria"
2014,"Bass Coast",31917,"Victoria"
2018,"Bass Coast",36083,"Victoria"
2021,"Bass Coast",40675,"Victoria"
2016,"Bass Coast",33464,"Victoria"
2020,"Bass Coast",38950,"Victoria"
2015,"Bass Coast",32576,"Victoria"
2017,"Bassendean",15721,"Western Australia"
2013,"Bassendean",15828,"Western Australia"
2018,"Bassendean",15895,"Western Australia"
2014,"Bassendean",16003,"Western Australia"
2019,"Bassendean",16089,"Western Australia"
2016,"Bassendean",15613,"Western Australia"
2023,"Bassendean",16914,"Western Australia"
2022,"Bassendean",16612,"Western Australia"
2015,"Bassendean",15842,"Western Australia"
2021,"Bassendean",16500,"Western Australia"
2020,"Bassendean",16326,"Western Australia"
2017,"Bathurst Regional",42583,NA
2018,"Bathurst Regional",42882,NA
2019,"Bathurst Regional",43207,NA
2020,"Bathurst Regional",43444,NA
2021,"Bathurst Regional",43674,NA
2022,"Bathurst Regional",44110,NA
2023,"Bathurst Regional",44612,NA
2013,"Bathurst Regional",40727,NA
2014,"Bathurst Regional",41157,NA
2015,"Bathurst Regional",41694,NA
2016,"Bathurst Regional",42244,NA
2022,"Baw Baw",59277,"Victoria"
2018,"Baw Baw",52447,"Victoria"
2015,"Baw Baw",47837,"Victoria"
2023,"Baw Baw",60644,"Victoria"
2013,"Baw Baw",45627,"Victoria"
2021,"Baw Baw",57618,"Victoria"
2020,"Baw Baw",55753,"Victoria"
2014,"Baw Baw",46644,"Victoria"
2017,"Baw Baw",50883,"Victoria"
2016,"Baw Baw",49296,"Victoria"
2019,"Baw Baw",54047,"Victoria"
2015,"Bayside (NSW)",159222,"New South Wales"
2023,"Bayside (NSW)",182987,"New South Wales"
2017,"Bayside (NSW)",168779,"New South Wales"
2020,"Bayside (NSW)",176184,"New South Wales"
2014,"Bayside (NSW)",154980,"New South Wales"
2016,"Bayside (NSW)",164534,"New South Wales"
2013,"Bayside (NSW)",151309,"New South Wales"
2018,"Bayside (NSW)",171377,"New South Wales"
2022,"Bayside (NSW)",177992,"New South Wales"
2021,"Bayside (NSW)",176229,"New South Wales"
2019,"Bayside (NSW)",173913,"New South Wales"
2017,"Bayside (Vic.)",103665,"Victoria"
2014,"Bayside (Vic.)",99797,"Victoria"
2022,"Bayside (Vic.)",102241,"Victoria"
2016,"Bayside (Vic.)",102912,"Victoria"
2023,"Bayside (Vic.)",104272,"Victoria"
2021,"Bayside (Vic.)",102328,"Victoria"
2018,"Bayside (Vic.)",104623,"Victoria"
2013,"Bayside (Vic.)",98252,"Victoria"
2015,"Bayside (Vic.)",101268,"Victoria"
2020,"Bayside (Vic.)",105018,"Victoria"
2019,"Bayside (Vic.)",105128,"Victoria"
2018,"Bayswater",69267,"Western Australia"
2013,"Bayswater",69083,"Western Australia"
2014,"Bayswater",69256,"Western Australia"
2020,"Bayswater",71277,"Western Australia"
2023,"Bayswater",74283,"Western Australia"
2021,"Bayswater",71774,"Western Australia"
2016,"Bayswater",68791,"Western Australia"
2022,"Bayswater",72242,"Western Australia"
2019,"Bayswater",70051,"Western Australia"
2015,"Bayswater",69136,"Western Australia"
2017,"Bayswater",69043,"Western Australia"
2021,"Bega Valley",35770,"New South Wales"
2020,"Bega Valley",35428,"New South Wales"
2017,"Bega Valley",34287,"New South Wales"
2022,"Bega Valley",35985,"New South Wales"
2019,"Bega Valley",35026,"New South Wales"
2014,"Bega Valley",33562,"New South Wales"
2016,"Bega Valley",33941,"New South Wales"
2023,"Bega Valley",36279,"New South Wales"
2018,"Bega Valley",34674,"New South Wales"
2013,"Bega Valley",33430,"New South Wales"
2015,"Bega Valley",33713,"New South Wales"
2017,"Bellingen",12976,"New South Wales"
2021,"Bellingen",13203,"New South Wales"
2013,"Bellingen",12920,"New South Wales"
2015,"Bellingen",12936,"New South Wales"
2016,"Bellingen",12951,"New South Wales"
2018,"Bellingen",13006,"New South Wales"
2022,"Bellingen",13261,"New South Wales"
2014,"Bellingen",12929,"New South Wales"
2020,"Bellingen",13152,"New South Wales"
2023,"Bellingen",13231,"New South Wales"
2019,"Bellingen",13046,"New South Wales"
2022,"Belmont",44364,"Western Australia"
2019,"Belmont",42719,"Western Australia"
2017,"Belmont",41683,"Western Australia"
2018,"Belmont",41872,"Western Australia"
2015,"Belmont",41055,"Western Australia"
2014,"Belmont",40531,"Western Australia"
2020,"Belmont",43614,"Western Australia"
2021,"Belmont",43868,"Western Australia"
2013,"Belmont",39919,"Western Australia"
2023,"Belmont",45976,"Western Australia"
2016,"Belmont",41448,"Western Australia"
2023,"Belyuen",166,"Northern Territory"
2014,"Belyuen",188,"Northern Territory"
2022,"Belyuen",165,"Northern Territory"
2015,"Belyuen",182,"Northern Territory"
2016,"Belyuen",175,"Northern Territory"
2019,"Belyuen",168,"Northern Territory"
2021,"Belyuen",165,"Northern Territory"
2018,"Belyuen",169,"Northern Territory"
2013,"Belyuen",199,"Northern Territory"
2020,"Belyuen",167,"Northern Territory"
2017,"Belyuen",172,"Northern Territory"
2019,"Benalla",14237,"Victoria"
2018,"Benalla",14158,"Victoria"
2020,"Benalla",14382,"Victoria"
2023,"Benalla",14529,"Victoria"
2022,"Benalla",14463,"Victoria"
2017,"Benalla",14049,"Victoria"
2015,"Benalla",13923,"Victoria"
2021,"Benalla",14436,"Victoria"
2014,"Benalla",13898,"Victoria"
2016,"Benalla",13982,"Victoria"
2013,"Benalla",13878,"Victoria"
2023,"Berri Barmera",10730,"South Australia"
2013,"Berri Barmera",10804,"South Australia"
2015,"Berri Barmera",10854,"South Australia"
2020,"Berri Barmera",10800,"South Australia"
2018,"Berri Barmera",10826,"South Australia"
2017,"Berri Barmera",10833,"South Australia"
2019,"Berri Barmera",10812,"South Australia"
2022,"Berri Barmera",10710,"South Australia"
2021,"Berri Barmera",10741,"South Australia"
2016,"Berri Barmera",10835,"South Australia"
2014,"Berri Barmera",10847,"South Australia"
2018,"Berrigan",8645,"New South Wales"
2020,"Berrigan",8653,"New South Wales"
2019,"Berrigan",8649,"New South Wales"
2021,"Berrigan",8615,"New South Wales"
2017,"Berrigan",8638,"New South Wales"
2022,"Berrigan",8652,"New South Wales"
2014,"Berrigan",8519,"New South Wales"
2015,"Berrigan",8568,"New South Wales"
2023,"Berrigan",8643,"New South Wales"
2016,"Berrigan",8609,"New South Wales"
2013,"Berrigan",8436,"New South Wales"
2019,"Beverley",1746,"Western Australia"
2013,"Beverley",1692,"Western Australia"
2018,"Beverley",1741,"Western Australia"
2014,"Beverley",1707,"Western Australia"
2017,"Beverley",1740,"Western Australia"
2020,"Beverley",1738,"Western Australia"
2023,"Beverley",1768,"Western Australia"
2022,"Beverley",1738,"Western Australia"
2021,"Beverley",1735,"Western Australia"
2016,"Beverley",1748,"Western Australia"
2015,"Beverley",1732,"Western Australia"
2022,"Blackall Tambo",1934,"Queensland"
2020,"Blackall Tambo",1919,"Queensland"
2017,"Blackall Tambo",1895,"Queensland"
2019,"Blackall Tambo",1916,"Queensland"
2016,"Blackall Tambo",1925,"Queensland"
2023,"Blackall Tambo",1953,"Queensland"
2014,"Blackall Tambo",2152,"Queensland"
2015,"Blackall Tambo",2035,"Queensland"
2021,"Blackall Tambo",1918,"Queensland"
2018,"Blackall Tambo",1901,"Queensland"
2013,"Blackall Tambo",2214,"Queensland"
2023,"Blacktown",426202,"New South Wales"
2021,"Blacktown",399925,"New South Wales"
2019,"Blacktown",380186,"New South Wales"
2013,"Blacktown",324797,"New South Wales"
2022,"Blacktown",410944,"New South Wales"
2018,"Blacktown",369384,"New South Wales"
2015,"Blacktown",339449,"New South Wales"
2020,"Blacktown",391911,"New South Wales"
2016,"Blacktown",348030,"New South Wales"
2017,"Blacktown",359591,"New South Wales"
2014,"Blacktown",331825,"New South Wales"
2013,"Bland",6028,"New South Wales"
2014,"Bland",6034,"New South Wales"
2015,"Bland",6027,"New South Wales"
2016,"Bland",6024,"New South Wales"
2017,"Bland",5936,"New South Wales"
2018,"Bland",5849,"New South Wales"
2019,"Bland",5755,"New South Wales"
2020,"Bland",5649,"New South Wales"
2021,"Bland",5544,"New South Wales"
2022,"Bland",5493,"New South Wales"
2023,"Bland",5464,"New South Wales"
2023,"Blayney",7644,"New South Wales"
2022,"Blayney",7590,"New South Wales"
2021,"Blayney",7511,"New South Wales"
2018,"Blayney",7406,"New South Wales"
2020,"Blayney",7484,"New South Wales"
2015,"Blayney",7322,"New South Wales"
2017,"Blayney",7375,"New South Wales"
2013,"Blayney",7303,"New South Wales"
2019,"Blayney",7450,"New South Wales"
2016,"Blayney",7343,"New South Wales"
2014,"Blayney",7322,"New South Wales"
2023,"Blue Mountains",78446,"New South Wales"
2021,"Blue Mountains",78372,"New South Wales"
2013,"Blue Mountains",78705,"New South Wales"
2022,"Blue Mountains",77913,"New South Wales"
2020,"Blue Mountains",79031,"New South Wales"
2015,"Blue Mountains",78889,"New South Wales"
2016,"Blue Mountains",78835,"New South Wales"
2017,"Blue Mountains",78989,"New South Wales"
2019,"Blue Mountains",79077,"New South Wales"
2014,"Blue Mountains",78867,"New South Wales"
2018,"Blue Mountains",79107,"New South Wales"
2016,"Boddington",1882,"Western Australia"
2014,"Boddington",2132,"Western Australia"
2023,"Boddington",1786,"Western Australia"
2018,"Boddington",1819,"Western Australia"
2017,"Boddington",1846,"Western Australia"
2021,"Boddington",1760,"Western Australia"
2022,"Boddington",1758,"Western Australia"
2015,"Boddington",2031,"Western Australia"
2020,"Boddington",1751,"Western Australia"
2019,"Boddington",1784,"Western Australia"
2013,"Boddington",2225,"Western Australia"
2018,"Bogan",2648,"New South Wales"
2016,"Bogan",2764,"New South Wales"
2017,"Bogan",2708,"New South Wales"
2019,"Bogan",2602,"New South Wales"
2014,"Bogan",2894,"New South Wales"
2015,"Bogan",2846,"New South Wales"
2013,"Bogan",2926,"New South Wales"
2022,"Bogan",2454,"New South Wales"
2021,"Bogan",2480,"New South Wales"
2020,"Bogan",2514,"New South Wales"
2023,"Bogan",2420,"New South Wales"
2014,"Boroondara",172660,"Victoria"
2016,"Boroondara",177276,"Victoria"
2013,"Boroondara",170485,"Victoria"
2019,"Boroondara",179663,"Victoria"
2015,"Boroondara",174753,"Victoria"
2017,"Boroondara",178650,"Victoria"
2018,"Boroondara",179386,"Victoria"
2022,"Boroondara",169632,"Victoria"
2020,"Boroondara",177875,"Victoria"
2023,"Boroondara",174537,"Victoria"
2021,"Boroondara",169789,"Victoria"
2017,"Boulia",435,"Queensland"
2016,"Boulia",436,"Queensland"
2015,"Boulia",459,"Queensland"
2018,"Boulia",447,"Queensland"
2014,"Boulia",473,"Queensland"
2021,"Boulia",470,"Queensland"
2022,"Boulia",474,"Queensland"
2020,"Boulia",458,"Queensland"
2013,"Boulia",481,"Queensland"
2019,"Boulia",454,"Queensland"
2023,"Boulia",478,"Queensland"
2021,"Bourke",2416,"New South Wales"
2017,"Bourke",2695,"New South Wales"
2018,"Bourke",2600,"New South Wales"
2020,"Bourke",2483,"New South Wales"
2016,"Bourke",2762,"New South Wales"
2015,"Bourke",2801,"New South Wales"
2023,"Bourke",2365,"New South Wales"
2014,"Bourke",2870,"New South Wales"
2019,"Bourke",2534,"New South Wales"
2022,"Bourke",2348,"New South Wales"
2013,"Bourke",2903,"New South Wales"
2014,"Boyup Brook",1687,"Western Australia"
2022,"Boyup Brook",1938,"Western Australia"
2018,"Boyup Brook",1784,"Western Australia"
2015,"Boyup Brook",1681,"Western Australia"
2013,"Boyup Brook",1667,"Western Australia"
2021,"Boyup Brook",1874,"Western Australia"
2023,"Boyup Brook",1948,"Western Australia"
2016,"Boyup Brook",1722,"Western Australia"
2019,"Boyup Brook",1808,"Western Australia"
2020,"Boyup Brook",1833,"Western Australia"
2017,"Boyup Brook",1737,"Western Australia"
2022,"Break O'Day",7010,"Tasmania"
2020,"Break O'Day",6659,"Tasmania"
2021,"Break O'Day",6933,"Tasmania"
2017,"Break O'Day",6264,"Tasmania"
2014,"Break O'Day",6312,"Tasmania"
2016,"Break O'Day",6198,"Tasmania"
2019,"Break O'Day",6516,"Tasmania"
2018,"Break O'Day",6381,"Tasmania"
2015,"Break O'Day",6254,"Tasmania"
2023,"Break O'Day",7075,"Tasmania"
2013,"Break O'Day",6353,"Tasmania"
2022,"Brewarrina",1431,"New South Wales"
2018,"Brewarrina",1637,"New South Wales"
2021,"Brewarrina",1487,"New South Wales"
2020,"Brewarrina",1525,"New South Wales"
2013,"Brewarrina",1830,"New South Wales"
2019,"Brewarrina",1591,"New South Wales"
2015,"Brewarrina",1762,"New South Wales"
2016,"Brewarrina",1710,"New South Wales"
2017,"Brewarrina",1683,"New South Wales"
2014,"Brewarrina",1786,"New South Wales"
2023,"Brewarrina",1411,"New South Wales"
2017,"Bridgetown-Greenbushes",4815,NA
2018,"Bridgetown-Greenbushes",4938,NA
2019,"Bridgetown-Greenbushes",5063,NA
2020,"Bridgetown-Greenbushes",5188,NA
2021,"Bridgetown-Greenbushes",5376,NA
2022,"Bridgetown-Greenbushes",5527,NA
2023,"Bridgetown-Greenbushes",5669,NA
2016,"Bridgetown-Greenbushes",4697,NA
2014,"Bridgetown-Greenbushes",4687,NA
2015,"Bridgetown-Greenbushes",4727,NA
2013,"Bridgetown-Greenbushes",4647,NA
2019,"Brighton",17995,"Tasmania"
2018,"Brighton",17501,"Tasmania"
2016,"Brighton",16669,"Tasmania"
2020,"Brighton",18501,"Tasmania"
2013,"Brighton",16046,"Tasmania"
2014,"Brighton",16221,"Tasmania"
2021,"Brighton",19261,"Tasmania"
2015,"Brighton",16448,"Tasmania"
2022,"Brighton",19688,"Tasmania"
2023,"Brighton",19998,"Tasmania"
2017,"Brighton",17060,"Tasmania"
2014,"Brimbank",198468,"Victoria"
2015,"Brimbank",200860,"Victoria"
2023,"Brimbank",196046,"Victoria"
2018,"Brimbank",206977,"Victoria"
2019,"Brimbank",206771,"Victoria"
2016,"Brimbank",204190,"Victoria"
2013,"Brimbank",196169,"Victoria"
2022,"Brimbank",193392,"Victoria"
2020,"Brimbank",204213,"Victoria"
2017,"Brimbank",206116,"Victoria"
2021,"Brimbank",196631,"Victoria"
2016,"Brisbane",1184752,"Queensland"
2017,"Brisbane",1206960,"Queensland"
2018,"Brisbane",1226938,"Queensland"
2019,"Brisbane",1247133,"Queensland"
2013,"Brisbane",1131996,"Queensland"
2015,"Brisbane",1165437,"Queensland"
2014,"Brisbane",1149107,"Queensland"
2023,"Brisbane",1323162,"Queensland"
2021,"Brisbane",1262968,"Queensland"
2020,"Brisbane",1263500,"Queensland"
2022,"Brisbane",1283432,"Queensland"
2013,"Broken Hill",18802,"New South Wales"
2021,"Broken Hill",17662,"New South Wales"
2022,"Broken Hill",17567,"New South Wales"
2017,"Broken Hill",17994,"New South Wales"
2023,"Broken Hill",17624,"New South Wales"
2015,"Broken Hill",18360,"New South Wales"
2016,"Broken Hill",18114,"New South Wales"
2014,"Broken Hill",18627,"New South Wales"
2019,"Broken Hill",17801,"New South Wales"
2020,"Broken Hill",17718,"New South Wales"
2018,"Broken Hill",17914,"New South Wales"
2013,"Brookton",998,"Western Australia"
2023,"Brookton",955,"Western Australia"
2022,"Brookton",954,"Western Australia"
2017,"Brookton",988,"Western Australia"
2014,"Brookton",1018,"Western Australia"
2016,"Brookton",1002,"Western Australia"
2015,"Brookton",1010,"Western Australia"
2020,"Brookton",970,"Western Australia"
2021,"Brookton",961,"Western Australia"
2018,"Brookton",969,"Western Australia"
2019,"Brookton",959,"Western Australia"
2016,"Broome",16959,"Western Australia"
2017,"Broome",17216,"Western Australia"
2019,"Broome",17652,"Western Australia"
2015,"Broome",17060,"Western Australia"
2021,"Broome",18204,"Western Australia"
2014,"Broome",17100,"Western Australia"
