"Age","State","Male_Pct","Female_Pct"
"90-94","Northern Territory",0.0604597310529872,0.0837742678642699
"90-94","Australian Capital Territory",0.179057364833134,0.278986385207074
"95-99","New South Wales",0.0576953045396243,0.132316802723535
"95-99","Victoria",0.0566118919594536,0.126705600117595
"95-99","Queensland",0.0458212049987968,0.105853942802976
"95-99","South Australia",0.0750689571243462,0.166705973082031
"95-99","Western Australia",0.0478199611406465,0.102575377124026
"95-99","Tasmania",0.0505485387986181,0.118178997605045
"95-99","Northern Territory",0.0165967889165063,0.0268709915791054
"95-99","Australian Capital Territory",0.0416013518294945,0.0887781425639728
"100 and over","New South Wales",0.00509464043825895,0.0185684659737956
"100 and over","Victoria",0.00509052254727401,0.0160784228006119
"100 and over","Queensland",0.00382759066536712,0.0152004796758598
"100 and over","South Australia",0.00793323989739676,0.0246632015857845
"100 and over","Western Australia",0.00534030022890469,0.0153620324766544
"100 and over","Tasmania",0.00540346449226607,0.0149902563333833
"100 and over","Northern Territory",0.00316129312695358,0.00276613148608438
"100 and over","Australian Capital Territory",0.00493211903133182,0.0115797577257356
